window_start,key,n_tracks,share
2014,2,3131,0.09938735993397455
2014,3,947,0.030060629146430498
2014,4,2573,0.08167476113386027
2014,5,2578,0.08183347617687205
2014,6,2392,0.07592927657683395
2014,7,3454,0.10964035171253532
2014,8,2050,0.06507316763482843
2014,9,3110,0.09872075675332508
2014,10,1903,0.0604069453702822
2014,11,2642,0.08386502872742278
2015,0,3453,0.11459958182602635
2015,1,3083,0.10231986990143042
2015,2,2973,0.09866914473465865
2015,3,881,0.029238989744781122
2015,4,2440,0.08097972188111911
2015,5,2473,0.08207493943115064
2015,6,2292,0.07606783711128073
2015,7,3294,0.1093226245395108
2015,8,1976,0.06558029935946368
2015,9,2925,0.09707610102552189
2015,10,1828,0.060668414589625304
2015,11,2513,0.08340247585543129
